pi,delta,gamma1,abs_gamma1,gamma2,regime,neg_density,p_true_-2.0,p_edge_-2.0,p_sad_-2.0,err_edge_-2.0,err_sad_-2.0,sq_err_edge_-2.0,sq_err_sad_-2.0,p_true_-2.33,p_edge_-2.33,p_sad_-2.33,err_edge_-2.33,err_sad_-2.33,sq_err_edge_-2.33,sq_err_sad_-2.33,p_true_-3.0,p_edge_-3.0,p_sad_-3.0,err_edge_-3.0,err_sad_-3.0,sq_err_edge_-3.0,sq_err_sad_-3.0,p_true_-3.5,p_edge_-3.5,p_sad_-3.5,err_edge_-3.5,err_sad_-3.5,sq_err_edge_-3.5,sq_err_sad_-3.5,es_true,es_edge,es_sad,es_relerr_edge,es_relerr_sad,loss_diff,g1_star_theoretical,predicted_inside,empirical_inside
0.005,8.142857142857142,-1.733977642578177,1.733977642578177,11.998278125602516,Moderate,True,0.027636381286412045,0.0499632981467999,0.08941107606305546,0.022326916860387857,0.06177469477664341,0.0004984912164906715,0.0038161129147474544,0.014853560166014558,0.08182407344386984,0.06745879525987894,0.06697051327785528,0.05260523509386438,0.00448504964869939,0.0027673107592807405,0.006343147864993488,0.08535572308076163,0.03722368692343846,0.07901257521576814,0.03088053905844497,0.006242987042227418,0.0009536076925401453,0.005231457343041591,0.05482939559038082,0.02342349487672125,0.04959793824733923,0.01819203753367966,0.0024599554783868755,0.00033095022962680953,-5.516610408153256,-37.95091079567167,-5.32874008041399,587.938933291034,3.4055391597275717,0.0052893793496872725,,False,False
0.005,8.399999999999999,-1.858941639947009,1.858941639947009,13.164830576885775,Moderate,True,0.027636381288049856,0.04496461303691575,0.09251410279719956,0.017328231748865892,0.0648777215091497,0.0003002676155424039,0.004209118748218785,0.014853560178170667,0.0825669579096314,0.07040195458098363,0.06771339773146073,0.05554839440281296,0.004585104232338991,0.003085624120730462,0.0063431483748697,0.09303199377170611,0.03958947592600832,0.08668884539683641,0.03324632755113862,0.007514955916236605,0.001105318295637599,0.005231463537723965,0.061964301507480495,0.0252962510941778,0.05673283796975653,0.020064787556453835,0.0032186149041026485,0.00040259569968562466,-5.6451818358683115,-41.814248053565585,-5.4663528151630105,640.7068411487926,3.167816837520778,0.006409637620599006,,False,False
0.005,8.657142857142857,-1.98661677259521,1.98661677259521,14.384001861847505,Moderate,True,0.027636381288368497,0.03886750241742089,0.0955852329701478,0.01123112112905239,0.0679488516817793,0.00012613808181544705,0.004617046444872442,0.014853560180744069,0.08241026029458162,0.07333057939054434,0.06755670011383755,0.05847701920980027,0.004563907730270978,0.00341956177566335,0.00634314850299353,0.10077124226091885,0.0419770525732327,0.09442809375792532,0.03563390407023917,0.008916664890755535,0.0012697751192870077,0.005231465306774104,0.06962027592368376,0.027210191255353542,0.06438881061690965,0.021978725948579438,0.004145918932660257,0.00048306439432275913,-5.773753264254758,-45.766896315111886,-5.604799580897261,692.6714949607257,2.9262366371539863,0.007646889771468527,,False,False
0.005,8.914285714285715,-2.116751157814677,2.116751157814677,15.653832226094154,Moderate,True,0.02763638128842654,0.03163668051915987,0.09862207374696187,0.004000299230733327,0.07098569245853534,1.600239393540565e-05,0.00503896853381776,0.014853560181254156,0.08126212204096826,0.07624130571109804,0.06640856185971411,0.061387745529843885,0.0044100970882754754,0.003768455301236868,0.006343148533138971,0.10848228987914263,0.044381824134829634,0.10213914134600366,0.038038675601690664,0.010432404194898914,0.0014469408415306566,0.005231465779805736,0.07777504226447715,0.02916085805679897,0.07254357648467141,0.023929392276993235,0.0052625704891873714,0.0005726158147462235,-5.902324692788701,-49.81383822784519,-5.744013175219196,743.9698054684516,2.6821892357586763,0.008985463353368257,,False,False
0.005,9.17142857142857,-2.2490950106475336,2.2490950106475336,16.972194614692445,Moderate,True,0.027636381288436443,0.023249239672609927,0.10162264584121569,0.0043871416158265154,0.07398626455277925,1.924701155731689e-05,0.005473967342473839,0.014853560181348823,0.0790379528843553,0.07913119774935734,0.06418439270300648,0.06427763756800851,0.0041196362666537515,0.00413161469132426,0.0063431485397800495,0.11606598259350247,0.04679954775932566,0.10972283405372242,0.040456399219545615,0.012039100312780708,0.001636720237811251,0.005231465898237436,0.08639644169139223,0.03114399468301923,0.08116497579315479,0.025912528784781792,0.006587753295503403,0.0006714591480221449,-6.030896121352999,-53.95868814080142,-5.883933281223253,794.7043201383491,2.4368325564323476,0.010402380074969457,,False,False
0.005,9.428571428571427,-2.3834020553304116,2.3834020553304116,18.336819622237588,Moderate,True,0.027636381288438025,0.013695162781379213,0.10458533441151316,0.013941218507058812,0.07694895312307513,0.00019435757346155912,0.005921141386737215,0.014853560181365274,0.07566191638342146,0.08199770765081703,0.060808356202056185,0.06714414746945176,0.003697656183996145,0.004508336539399485,0.006343148541149921,0.12341629089866103,0.0492263183491323,0.11707314235751111,0.042883169807982374,0.013706120661462063,0.001838966252780251,0.00523146592600081,0.09544207528446573,0.033155556834799295,0.09021060935846492,0.027924090908798486,0.00813795404082556,0.0007797548530828422,-6.1594675499231615,-5.266768603166385,-6.024505628285776,14.49311875614821,2.1911296803417573,0.011867154408681812,,False,False
0.005,9.685714285714285,-2.5194307709710015,2.5194307709710015,19.74531982330855,Severe,True,0.02763638128843826,0.0029775944597984494,0.10750884511279776,0.02465878682863981,0.0798724638243595,0.0006080557678603002,0.006379610477373617,0.01485356018136795,0.07106825519793439,0.08483863798761282,0.05621469501656644,0.06998507780624487,0.0031600919358055796,0.004897911115546148,0.006343148541414492,0.13042158406993506,0.051658554059004526,0.12407843552852058,0.045315405517590036,0.015395458163205237,0.0020534859772236296,0.005231465932094801,0.10485913094008857,0.03519171966074725,0.09962766500799378,0.02996025372865245,0.009925671634945028,0.000897616803485233,-6.288038978494377,-5.347154669829485,-6.165681268652433,14.96308009353625,1.9458802698332192,0.013341972185981607,,False,False
0.005,9.942857142857143,-2.656945476070692,2.656945476070692,21.195213218528142,Severe,True,0.027636381288438292,0.0,0.1103921648592824,0.027636381288438292,0.08275578357084411,0.0007637695707199422,0.006848519714424391,0.014853560181368358,0.065202430170397,0.08765210702480304,0.050348869989028634,0.07279854684343469,0.0025350087091721082,0.005299628422515755,0.006343148541462337,0.13696605163156814,0.0540929802147159,0.1306229030901058,0.04774983167325356,0.01706234281168717,0.0022800464248240488,0.005231465933347235,0.1145844075526412,0.037248880539875774,0.10935294161929396,0.03201741460652854,0.011958065840792714,0.001025114838086347,-6.416610407065773,-5.427372891832024,-6.3074159526976965,15.416823719645352,1.701746676841008,0.014782296386863122,,False,False
0.005,10.2,-2.7957172582254968,2.7957172582254968,22.683945580380378,Severe,True,0.027636381288438296,0.0,0.11323452686852897,0.027636381288438296,0.08559814558009068,0.0007637695707199423,0.007327042526750398,0.014853560181368415,0.058022053231324956,0.0904365167351421,0.04316849304995654,0.07558295655377367,0.0018635187922041462,0.005712783321409638,0.006343148541470437,0.1429312409045755,0.05652661228681561,0.13658809236310507,0.05018346374534517,0.018656306975392122,0.002518380033480373,0.0052314659335882426,0.12454454360987498,0.03932365853670367,0.11931307767628674,0.034092192603115426,0.014235610504587633,0.001162277596487918,-6.545181835636975,-5.507464584887271,-6.4496695895217435,15.854674122261631,1.4592756704663248,0.01613792694191175,,False,False
0.005,10.457142857142856,-2.9355247566956453,2.9355247566956453,24.20891152915349,Severe,True,0.0276363812884383,0.0,0.11603537957679357,0.0276363812884383,0.08839899828835526,0.0007637695707199425,0.007814382898384637,0.014853560181368424,0.04949760037664071,0.09319052347944537,0.034644040195272285,0.07833696329807695,0.0012002095210516418,0.006136679818764255,0.0063431485414717215,0.14819767662481434,0.058956738418291174,0.14185452808334262,0.05261358987681945,0.02012270713774784,0.0027681898397261583,0.005231465933631667,0.13465645161889103,0.04141289123215515,0.12942498568525937,0.03618142529852348,0.01675082691962959,0.001309095536632635,-6.673753264208622,-5.587466802010523,-6.592405776897954,16.27699465642309,1.2189166139379843,0.017354517298021684,,False,False
