eta,lam,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
10,0.0,Hansen skewed-t,0.0,0.0,1.0,False,inside,0.024666097819920206,0.0025832813376913434,0.003956058843926601,0.013132159120258325,0.0030024325703482888,0.0022412955983834183,0.003657308869612945,0.0010164754709706529,0.00026009619926521893,0.0014492806031852303,3.943893031193527e-05,0.00015093219628854932,2.130580506416752,0.2840401391431795
10,0.1,Hansen skewed-t,0.24141655768821813,0.24141655768821813,1.0568351097906037,False,inside,0.019917761739444106,0.00028350122526879865,0.004160788197981064,0.009851658201617925,0.0014386065763072348,0.0025006101630912336,0.0023868409248232647,0.0011138689386675457,0.00046987975401458805,0.000864537612839797,0.0003224192590027242,1.4243346940819544e-05,4.472201384588979,2.6540474890755794
10,0.3,Hansen skewed-t,0.6869978717759551,0.6869978717759551,1.469784957916593,True,outside,0.010288079749347217,0.005841337624442598,0.00741295845638148,0.004069612334673103,0.0023705771083564735,0.004580178388524768,0.0006610709524701942,0.0020375851344126604,0.001175137761355797,0.00018812786645779916,0.0015028066927728876,0.00034710501943049845,11.270928623233244,13.65596345031496
10,0.5,Hansen skewed-t,1.0388779349927593,1.0388779349927593,2.1141544625772113,True,outside,0.0029585483522324547,0.0029585483522324547,0.012727277462984602,0.0007871334453015682,0.0007871334453015682,0.0069932917441659,6.824702920529069e-05,0.0033657813784994974,0.0016646792982745694,1.3919845228113767e-05,0.002956337162869469,0.0005164963493695041,152.54352112950113,36.43601023863933
15,-0.5,Hansen skewed-t,-0.8981543700722486,0.8981543700722486,1.2903970259361657,True,outside,0.04070324668180943,0.0012104363511757574,0.0033656081003806196,0.02514358802829566,0.003548897882405269,0.0018904483592853266,0.009094107012213174,0.0027460083310419815,0.00018814179197654268,0.004176047639693032,0.0005018204549884176,0.0002507909176955895,0.4059258669672861,1.7087816550480213
15,-0.3,Hansen skewed-t,-0.5916367897865428,0.5916367897865428,0.8568473846706328,True,outside,0.035740138031468104,0.0021120134519632683,0.002680362663428325,0.020946035133923555,0.002898994328630028,0.0014683482620021053,0.006759251011455697,0.0013225942415691933,7.595742217982645e-05,0.002846414795600072,4.992796780063039e-06,0.0002355616173347311,0.10587115859510851,1.246230614427975
15,-0.1,Hansen skewed-t,-0.20737564441302048,0.20737564441302048,0.5829271693602367,False,inside,0.028567951320682437,0.0018226540430305305,0.0020417750788975543,0.015335228114074829,0.0018845777491323344,0.001080325189324046,0.004103628656722015,0.00045691043728381033,9.386739509842368e-07,0.0015043828686784498,0.00016855119163983168,0.000180975721339024,0.3411752955508354,0.5796725945593668
15,0.0,Hansen skewed-t,0.0,0.0,0.5454545454545441,False,inside,0.024213264797682873,0.0009910019920048828,0.0018317305225559431,0.012184846547484637,0.0011172378106481546,0.0009980062310043676,0.0028475498029533835,0.00031537712446952663,3.758555606575304e-05,0.0009466891734928404,7.194413418216972e-05,0.00011407908769439114,0.9067095712777011,0.08991414224512675
15,0.1,Hansen skewed-t,0.20737564441302048,0.20737564441302048,0.5829271693602367,False,inside,0.01949953419052682,0.0003053402999680342,0.0018989810804220866,0.009013846309161333,0.00011552632888856863,0.001151796423416604,0.0017680257424984114,0.00034169356386350657,0.00016866037453717206,0.0005196131670435624,0.0001375692490455337,1.8726799870342537e-05,1.2914228655511553,1.4200332894494516
15,0.3,Hansen skewed-t,0.5916367897865428,0.5916367897865428,0.8568473846706328,True,outside,0.009971678452263055,0.004062569074166994,0.004260200833811723,0.0035325451385789025,0.0027692905626710636,0.0026798285582698995,0.0004095663415157067,0.0006801600654836124,0.0006038239296411619,8.489984326371656e-05,0.0008203551998095101,0.00015177727304953298,3.9799073453685785,8.871171334649533
15,0.5,Hansen skewed-t,0.8981543700722486,0.8981543700722486,1.2903970259361657,True,outside,0.002744127206114966,0.002744127206114966,0.008870895286711014,0.0005841419617035952,0.0005841419617035952,0.00453035502034694,2.735496966249796e-05,0.001198136323779657,0.0008459255782751522,3.3313229195244324e-06,0.0017352726108552604,0.00021197040218852916,104.09745137664557,26.673567468678215
30,-0.5,Hansen skewed-t,-0.7862961634638781,0.7862961634638781,0.747552753534968,True,outside,0.04018081302982967,0.0011859476264142535,0.000924091926244229,0.02391136196788842,0.0007981004450464714,0.0004990289487118611,0.007663017654756281,0.0015029984293772882,7.082598970226377e-05,0.0030826141959568493,0.00043297093631687426,3.910985285047195e-05,1.2122721687364535,0.24216058629402307
