lam,a,b,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
0.5,2.0,0.0,Generalised Hyperbolic,0.0,0.0,1.3333333333333321,False,inside,0.026367992351509602,0.0023811358759127273,0.0038950823263642076,0.014871321695317515,0.0033404420391032093,0.0018800246952898926,0.004579160572006268,0.0012025858715618287,1.7614348601272846e-05,0.0018882891990462422,8.604332822702526e-05,0.00026183902588910644,1.5187409912057501,0.8223434929201641
0.5,2.0,0.2,Generalised Hyperbolic,0.23074910581848992,0.23074910581848992,1.3966146836577824,False,inside,0.022361043762994456,0.00027506999475956223,0.003970265119106801,0.011887670747579024,0.0017703047154830065,0.002201181468057452,0.0032315998221861537,0.0014559534992864775,0.00037048979981538265,0.00121183152344783,0.00038347867885664215,4.213765371598437e-06,4.757912086362611,1.5689168040416768
0.5,2.0,0.5,Generalised Hyperbolic,0.5744873082499538,0.5744873082499538,1.7273032929066146,False,inside,0.015963368980539117,0.00540497118877558,0.005785135583721606,0.007524879277725237,0.0008349561808326054,0.003766695304564421,0.0015888548868622765,0.002473349037188517,0.001145518980880696,0.0004917971609991094,0.00143012194863271,0.0003932416151792461,8.2832630833372,8.173014431650254
0.5,3.0,-0.5,Generalised Hyperbolic,-0.3126964623845699,0.3126964623845699,1.0615620293941106,False,inside,0.031078521860692227,0.0035694354746429353,0.0034801671495140706,0.018141597920190027,0.003655482811662277,0.0015192201813438097,0.0059327166447964205,0.0009017928218573315,0.00024016449616112018,0.0025410782708724534,0.00037055713331514157,0.0004491948874812248,0.9105210720016619,2.184681817709982
0.5,3.0,-0.2,Generalised Hyperbolic,-0.1250117317141456,0.1250117317141456,0.9573006919088209,False,inside,0.027868303392056447,0.0023527713304367405,0.002919884527024366,0.015565536919805556,0.0026103509213922862,0.0012958332136486263,0.004622747800136319,0.0006651347786944591,0.00014539671527288682,0.0018359467537623969,0.0002435994078982932,0.0003040748958499672,0.23684477458249503,1.2884182406234703
0.5,3.0,0.0,Generalised Hyperbolic,0.0,0.0,0.9375000000000031,False,inside,0.02559397878112588,0.0013741974258961627,0.0026991884780811666,0.01381317509320418,0.0019319468391873085,0.0012832288724583703,0.0038060546272971974,0.0006599868189768191,2.238780502040842e-05,0.0014254022545592013,8.913636880076301e-05,0.00018976035347502635,1.257196788832261,0.45306576123801356
0.5,3.0,0.2,Generalised Hyperbolic,0.1250117317141456,0.1250117317141456,0.9573006919088209,False,inside,0.023217020097880223,0.0002545504038788775,0.0026630183574099173,0.012047927101089479,0.0012508254783598158,0.0014191915439290097,0.003046668928501158,0.0007637921978737357,0.0001520646259118865,0.0010669204411716596,0.00011631849865005139,6.519742506425779e-05,2.4823894917726297,0.6835129645356947
0.5,3.0,0.5,Generalised Hyperbolic,0.3126964623845699,0.3126964623845699,1.0615620293941106,False,inside,0.019478220605156974,0.0017130474992194875,0.003117392021675755,0.00941564471509974,0.0001820774284957867,0.0019786882284808602,0.0020391027493238136,0.0010998778633627697,0.0005022625744364644,0.0006326851142150606,0.0005145180551233454,0.00012753175273002974,4.400390044027372,3.2399885553297763
1.0,1.5,-0.5,Generalised Hyperbolic,-0.8407335817471057,0.8407335817471057,2.2001018233612237,True,outside,0.03885776838931766,0.006946526269998449,0.006582582506001217,0.025232954581535055,0.008846466211514564,0.0032741222453907502,0.01042094217957961,0.003992993361005712,5.567882687551942e-05,0.005361647657418145,0.00011289480948183106,0.0007425187704610996,3.8354863859457,4.240912883972668
1.0,1.5,-0.2,Generalised Hyperbolic,-0.34812870617524266,0.34812870617524266,1.601610421215291,False,inside,0.032254036921789825,0.005464199056667625,0.0048003907485343125,0.019639826849129818,0.006017185435524781,0.0021828120739087256,0.007087816534159071,0.001777068565205318,0.0002095204321426276,0.003290094426566615,0.0003835674363883877,0.0005656681527180948,1.6032864103105522,2.883055268609689
1.0,1.5,0.0,Generalised Hyperbolic,0.0,0.0,1.479686299741731,False,inside,0.026853577864931956,0.002554028538195495,0.004076857956157028,0.015368717978248294,0.0037550466272308087,0.0019423218439139443,0.004871436366656106,0.0013967706982315996,8.045590221402062e-06,0.0020485207600107937,7.398633399009367e-05,0.00028116586452594985,1.4976004759238681,0.9923233132450828
1.0,1.5,0.2,Generalised Hyperbolic,0.34812870617524266,0.34812870617524266,1.601610421215291,False,inside,0.020812251285064108,0.0018898206239936766,0.004457689912719005,0.010930759149248006,0.0011445615194824003,0.0025751624065713536,0.002895341088347978,0.001855267601382327,0.0005673324914930561,0.0010623129953264891,0.0007049418791224716,0.00010554214727338004,6.7938780546682755,2.8464721579727446
1.0,1.5,0.5,Generalised Hyperbolic,0.8407335817471057,0.8407335817471057,2.2001018233612237,True,outside,0.011352240972275857,0.01093996497158037,0.008460507255315417,0.004851405319095579,0.003571877312516263,0.0054569082181550495,0.000836602025191479,0.0036413234110502122,0.001696299434662626,0.00022186002169979893,0.0025013312654456558,0.0006132878686732279,42.4922078738652,15.696543970549692
