gamma_2,gamma_1_star
0.35250000000000004,0.40196318179368973
0.37625,0.4107232019305229
0.3999999999999999,0.4191248491406441
0.42375000000000007,0.42719852179288864
0.4475,0.43497052043676376
0.47124999999999995,0.44246379286050797
0.4950000000000001,0.44969823211431503
0.5187499999999998,0.45669157058000565
0.5425,0.4634593799710274
0.5662500000000001,0.47001566737890244
0.5899999999999999,0.4763728752732277
0.61375,0.4825422540307045
0.6375000000000002,0.4885338619351387
0.6612499999999999,0.4943569377064705
0.685,0.5000199005007744
0.7087500000000002,0.5055302754044533
0.7324999999999999,0.5108950659632683
0.7562500000000001,0.5161206796765327
0.7800000000000002,0.5212130770087242
0.80375,0.5261776223778725
0.8275000000000001,0.5310193076729774
0.8512499999999998,0.5357428267598152
0.875,0.540352500975132
0.8987500000000002,0.5448522791266441
0.9224999999999999,0.5492459610104561
0.94625,0.5535369738936424
0.9700000000000002,0.5577285960316658
0.9937499999999999,0.561823882162571
1.0175,0.5658255890011787
1.0412500000000002,0.56973647326231
1.065,0.5735589191317558
1.08875,0.5772953853011131
1.1124999999999998,0.5809479579329491
1.13625,0.5845187976956367
1.1600000000000001,0.5880098417401314
1.1837499999999999,0.5914228782057762
1.2075,0.5947596207261086
1.2312500000000002,0.5980217829346657
1.255,0.601210780441761
1.27875,0.604328103363514
1.3025000000000002,0.6073751673102379
1.32625,0.6103532388806343
1.35,0.6132634356617928
1.3737500000000002,0.6161069497466087
1.3975,0.6188848987221718
1.4212500000000001,0.6215982511639595
1.4449999999999998,0.6242479756474495
1.46875,0.6268348917365074
1.4925000000000002,0.6293599680066109
1.5162499999999999,0.6318239495158195
1.54,0.6342275068163872
1.5637500000000002,0.6365713849663734
1.5875,0.6388561800122261
1.61125,0.6410825625061989
1.6350000000000002,0.6432510539889336
1.65875,0.6453621760010719
1.6825,0.6474164500832558
1.7062499999999998,0.6494142487645149
1.73,0.6513559445738792
1.7537500000000001,0.6532419845461845
1.7774999999999999,0.6550726667046547
1.80125,0.6568482145667076
1.8250000000000002,0.6585690006613731
1.84875,0.6602352485060692
1.8725,0.6618469581007957
1.8962500000000002,0.6634045019745827
1.92,0.6649079546332359
1.94375,0.6663573160767555
1.9675000000000002,0.6677526608109474
1.99125,0.6690941378474236
2.015,0.670381598174572
2.03875,0.6716150417923927
2.0625,0.6727943941950798
2.08625,0.6739196553826332
2.11,0.6749905273318291
2.13375,0.6760069355368614
2.1575,0.6769685819745064
2.18125,0.677875317633152
