pi_up,pi_down,delta_up,delta_down,distribution,gamma1,abs_gamma1,gamma2,neg_density,envelope,p_true_-2.0,err_edge_-2.0,err_sad_-2.0,p_true_-2.33,err_edge_-2.33,err_sad_-2.33,p_true_-3.0,err_edge_-3.0,err_sad_-3.0,p_true_-3.5,err_edge_-3.5,err_sad_-3.5,es_relerr_edge,es_relerr_sad
0.01,0.005,3.0,7.0,Two-sided jump,-0.9276061360829589,0.9276061360829589,6.947535717747531,True,outside,0.027408881402214366,0.030477975157958675,0.04720313015987512,0.014752644629379655,0.052869573773942885,0.039117379442472934,0.006321627530530124,0.04626233737056642,0.020647941233946573,0.005212572883826011,0.024310010959177397,0.010470771239250044,8.171613656075527,3.946623522212386
0.01,0.005,5.0,3.0,Two-sided jump,0.735018278231408,0.735018278231408,3.7191634022387325,True,outside,0.02657467555216803,0.014315459650285925,0.013649873692315528,0.013460451921607454,0.0006085798301789479,0.011854289440598532,0.0038047170703898086,0.009567530439177796,0.00563317312313442,0.0017564120919470573,0.006876484674778103,0.002593108531762545,30.547510164851584,18.071004656276113
0.01,0.005,5.0,5.0,Two-sided jump,0.37159572787981004,0.37159572787981004,4.695180701636045,True,outside,0.02735447298690749,0.0014353463769836636,0.026578289674094722,0.014686746549712802,0.01736043023978471,0.02157277765831131,0.006167171397815325,0.01958335224497338,0.009415199879492017,0.004848467259477049,0.009829860423660328,0.0031866449093686322,7.271505952353044,2.9963459497592586
0.01,0.005,5.0,7.0,Two-sided jump,-0.2617141642031108,0.2617141642031108,7.827857001222385,True,outside,0.02738501605664137,0.013729535576595724,0.048100325178528136,0.0147235521239154,0.046311986674155876,0.04034187222570415,0.006287493046106729,0.05150674923740749,0.02198069751198819,0.005181340120426161,0.03028345646570703,0.011622928025605453,417.0821616515875,1.4364318665147362
0.01,0.005,7.0,3.0,Two-sided jump,1.688341640348574,1.688341640348574,9.719608584161884,True,outside,0.026574673968642534,0.026574673968642534,0.02818344219193377,0.013460451548839084,0.013460451548839084,0.02514659333015696,0.0038047170560572877,0.018190310049207237,0.01476005397470003,0.0017564120909975805,0.026900780877239943,0.00878217696688362,621.3971986581878,43.87632963723033
0.01,0.005,7.0,5.0,Two-sided jump,1.3282631061893257,1.3282631061893257,9.795565294347211,True,outside,0.02735333706385944,0.02735333706385944,0.03600831616048909,0.014686251768707052,0.014686251768707052,0.030964296721747865,0.0061671039172463155,0.02657360041050394,0.016796350639507185,0.004848455628972575,0.028568755708497186,0.008645874505414288,468.47659238295233,18.191472131806158
0.01,0.005,7.0,7.0,Two-sided jump,0.7207443404343081,0.7207443404343081,11.357071222623807,True,outside,0.027361153563226045,0.027361153563226045,0.05204210862837626,0.014705512278639246,0.008851914591461294,0.044856953144232874,0.006279627778311731,0.05585962915525434,0.02634047672906916,0.00517801139181667,0.047138245123487306,0.015300468580118437,585.0880899056162,5.914888283145323
0.01,0.01,3.0,3.0,Two-sided jump,0.0,0.0,1.0867187159845322,False,inside,0.03062899515953438,0.004475837400847848,0.007826015943727897,0.01711784908780242,0.005021846643260823,0.005116768736935024,0.006273170060371035,0.0016646791547606779,0.00041281086051633224,0.0032825446570554757,0.0002713033422892591,0.000743654579896454,0.001941224270013435,1.9580738631455912
0.01,0.01,3.0,5.0,Two-sided jump,-0.6152975145652166,0.6152975145652166,3.6799503269958826,True,outside,0.03223404316974785,0.023038096801856443,0.03460858531440191,0.019605528472553924,0.03124126484673769,0.026520420449057835,0.011013674289674046,0.021598596090890838,0.00980811836815599,0.009473289188325493,0.00785503180516035,0.0016325122233123608,14.675951274098457,13.995992293212986
0.01,0.01,3.0,7.0,Two-sided jump,-1.5522386423456764,1.5522386423456764,9.326573777540817,True,outside,0.03229512930921561,0.00947462994529917,0.06603716551795191,0.019701243964122872,0.04425930883228717,0.05548057767490282,0.01130685599988058,0.06619202324576826,0.03134279716639944,0.010194842979005251,0.0492217831217862,0.017220621342900665,25.627439152079518,20.21878275967987
